33393	感	133	133	0.16277946	47.72271813
33258	着	134	134	0.16212138	47.88483952
33244	員	135	135	0.16205314	48.04689265
32550	警	136	136	0.15867012	48.20556277
31955	味	137	137	0.15576970	48.36133248
31886	対	138	138	0.15543335	48.51676583
31678	犯	139	139	0.15441942	48.67118525
31322	連	140	140	0.15268404	48.82386929
31088	地	141	141	0.15154337	48.97541266
30827	内	142	142	0.15027109	49.12568375
30799	付	143	143	0.15013460	49.27581835
30558	用	144	144	0.14895980	49.42477815
30411	別	145	145	0.14824323	49.57302138
30395	確	146	146	0.14816523	49.72118661
30274	正	147	147	0.14757540	49.86876202
30221	開	148	148	0.14731704	50.01607906
30198	的	149	149	0.14720493	50.16328399
29771	月	150	150	0.14512345	50.30840744
29756	勝	151	151	0.14505033	50.45345776
29590	関	152	152	0.14424113	50.59769890
29529	文	153	153	0.14394378	50.74164268
29251	直	154	154	0.14258863	50.88423130
29206	口	155	155	0.14236927	51.02660057
29204	助	156	156	0.14235952	51.16896009
28689	引	157	157	0.13984907	51.30880916
28635	発	158	158	0.13958584	51.44839499
28607	込	159	159	0.13944935	51.58784434
28594	然	160	160	0.13938598	51.72723031
28452	三	161	161	0.13869377	51.86592409
28142	頼	162	162	0.13718263	52.00310672
28010	婚	163	163	0.13653918	52.13964589
27985	次	164	164	0.13641731	52.27606320
27941	使	165	165	0.13620282	52.41226602
27881	電	166	166	0.13591034	52.54817637
27768	楽	167	167	0.13535951	52.68353588
27749	近	168	168	0.13526689	52.81880277
27577	業	169	169	0.13442845	52.95323121
27173	番	170	170	0.13245909	53.08569030
26804	安	171	171	0.13066034	53.21635064
26413	戻	172	172	0.12875435	53.34510498
26382	必	173	173	0.12860323	53.47370821
26286	平	174	174	0.12813526	53.60184348
26247	島	175	175	0.12794515	53.72978863
26113	初	176	176	0.12729195	53.85708058
25983	少	177	177	0.12665824	53.98373882
25920	礼	178	178	0.12635114	54.11008996
25898	神	179	179	0.12624390	54.23633386
25501	国	180	180	0.12430866	54.36064252
25436	元	181	181	0.12399180	54.48463432
25392	向	182	182	0.12377732	54.60841164
25226	落	183	183	0.12296813	54.73137977
25187	解	184	184	0.12277802	54.85415778
25065	調	185	185	0.12218331	54.97634109
24924	愛	186	186	0.12149598	55.09783707
24920	命	187	187	0.12147648	55.21931355
24843	以	188	188	0.12110113	55.34041468
24826	二	189	189	0.12101826	55.46143295
24788	要	190	190	0.12083303	55.58226597
24663	顔	191	191	0.12022369	55.70248967
24660	校	192	192	0.12020907	55.82269874
24473	戦	193	193	0.11929751	55.94199625
24175	受	194	194	0.11784486	56.05984111
24038	強	195	195	0.11717703	56.17701814
23939	面	196	196	0.11669444	56.29371258
23881	現	197	197	0.11641171	56.41012429
23622	供	198	198	0.11514918	56.52527347
23590	朝	199	199	0.11499319	56.64026666
23219	主	200	200	0.11318469	56.75345134
23182	白	201	201	0.11300433	56.86645567
23076	終	202	202	0.11248761	56.97894328
22771	察	203	203	0.11100084	57.08994412
22558	身	204	204	0.10996254	57.19990666
22454	花	205	205	0.10945557	57.30936223
22386	残	206	206	0.10912410	57.41848633
22352	嫌	207	207	0.10895836	57.52744469
22322	絶	208	208	0.10881212	57.63625681
22245	配	209	209	0.10843677	57.74469358
22069	急	210	210	0.10757883	57.85227241
22032	院	211	211	0.10739847	57.95967088
22011	成	212	212	0.10729610	58.06696698
21792	伝	213	213	0.10622855	58.17319553
21739	東	214	214	0.10597019	58.27916573
21694	万	215	215	0.10575083	58.38491656
21594	笑	216	216	0.10526337	58.49017993
21576	夜	217	217	0.10517562	58.59535555
21576	由	217	217	0.10517562	58.70053118
21544	定	218	219	0.10501964	58.80555081
21489	覚	219	220	0.10475153	58.91030234
21481	頑	220	221	0.10471253	59.01501487
21480	係	221	222	0.10470766	59.11972253
21479	任	222	223	0.10470278	59.22442531
21454	光	223	224	0.10458092	59.32900623
21374	情	224	225	0.10419094	59.43319717
21370	海	225	226	0.10417144	59.53736862
21339	病	226	227	0.10402033	59.64138895
21325	問	227	228	0.10395209	59.74534103
21287	査	228	229	0.10376685	59.84910788
21274	続	229	230	0.10370348	59.95281136
21255	友	230	231	0.10361086	60.05642222
21250	守	231	232	0.10358649	60.16000870
21156	水	232	233	0.10312827	60.26313697
21062	足	233	234	0.10267005	60.36580702
21044	香	234	235	0.10258231	60.46838933
21029	幸	235	236	0.10250919	60.57089852
21004	奈	236	237	0.10238732	60.67328583
20913	沢	237	238	0.10194373	60.77522956
20863	我	238	239	0.10169999	60.87692955
20756	返	239	240	0.10117840	60.97810796
20748	捜	240	241	0.10113941	61.07924737
20660	呼	241	242	0.10071044	61.17995780
20531	申	242	243	0.10008161	61.28003941
20523	佐	243	244	0.10004261	61.38008202
20466	道	244	245	0.09976475	61.47984677
20358	報	245	246	0.09923829	61.57908506
20337	能	246	247	0.09913592	61.67822099
20316	優	247	248	0.09903356	61.77725454
20306	吉	248	249	0.09898481	61.87623935
20091	久	249	250	0.09793676	61.97417611
20019	加	250	251	0.09758578	62.07176189
19984	里	251	252	0.09741517	62.16917706
19916	和	252	253	0.09708369	62.26626075
19785	逃	253	254	0.09644511	62.36270586
19685	葉	254	255	0.09595765	62.45866351
19491	起	255	256	0.09501196	62.55367547
19471	務	256	257	0.09491447	62.64858994
19307	息	257	258	0.09411503	62.74270496
19234	兄	258	259	0.09375918	62.83646414
19081	医	259	260	0.09301335	62.92947749
19004	過	260	261	0.09263800	63.02211550
18885	料	261	262	0.09205792	63.11417341
18814	訳	262	263	0.09171182	63.20588523
18695	崎	263	264	0.09113173	63.29701697
18561	痛	264	265	0.09047853	63.38749550
18511	始	265	266	0.09023480	63.47773029
18368	多	266	267	0.08953772	63.56726802
18295	界	267	268	0.08918187	63.65644989
18251	千	268	269	0.08896739	63.74541727
18214	第	269	270	0.08878702	63.83420430
18056	証	270	271	0.08801683	63.92222112
17908	重	271	272	0.08729538	64.00951650
17757	頭	272	273	0.08655930	64.09607581
17586	科	273	274	0.08572574	64.18180155
17586	保	273	274	0.08572574	64.26752728
17585	士	274	276	0.08572086	64.35324815
17484	飲	275	277	0.08522852	64.43847667
17197	止	276	278	0.08382950	64.52230617
17174	指	277	279	0.08371738	64.60602355
17146	師	278	280	0.08358089	64.68960444
17139	買	279	281	0.08354677	64.77315120
17076	害	280	282	0.08323966	64.85639086
17011	皆	281	283	0.08292281	64.93931367
16918	約	282	284	0.08246947	65.02178314
16885	松	283	285	0.08230860	65.10409174
16852	江	284	286	0.08214774	65.18623948
16774	売	285	287	0.08176752	65.26800700
16755	離	286	288	0.08167490	65.34968190
16681	法	287	289	0.08131417	65.43099607
16679	京	288	290	0.08130442	65.51230049
16635	記	289	291	0.08108994	65.59339043
16547	族	290	292	0.08066097	65.67405140
16451	車	291	293	0.08019300	65.75424440
16308	介	292	294	0.07949593	65.83374033
16280	奥	293	295	0.07935943	65.91309976
16271	機	294	296	0.07931556	65.99241532
16225	天	295	297	0.07909133	66.07150665
16075	題	296	298	0.07836013	66.14986678
16073	画	297	299	0.07835038	66.22821716
15976	良	298	300	0.07787754	66.30609470
15953	苦	299	301	0.07776542	66.38386012
15944	疲	300	302	0.07772155	66.46158167
15932	夢	301	303	0.07766305	66.53924473
15928	魔	302	304	0.07764356	66.61688828
15849	空	303	305	0.07725846	66.69414674
15796	岡	304	306	0.07700010	66.77114684
15773	泣	305	307	0.07688798	66.84803482
15773	馬	305	307	0.07688798	66.92492281
15697	乗	306	309	0.07651751	67.00144032
15684	治	307	310	0.07645414	67.07789445
15528	利	308	311	0.07569369	67.15358815
15510	認	309	312	0.07560595	67.22919409
15418	官	310	313	0.07515748	67.30435157
15342	集	311	314	0.07478701	67.37913858
15324	断	312	315	0.07469926	67.45383784
15316	他	313	316	0.07466026	67.52849810
15227	刑	314	317	0.07422642	67.60272452
15198	特	315	318	0.07408505	67.67680958
15100	春	316	319	0.07360734	67.75041692
15054	谷	317	320	0.07338310	67.82380002
14962	負	318	321	0.07293464	67.89673466
14932	役	319	322	0.07278840	67.96952305
14902	可	320	323	0.07264216	68.04216521
14853	風	321	324	0.07240330	68.11456851
14790	客	322	325	0.07209619	68.18666470
14761	希	323	326	0.07195483	68.25861953
